"Interval,time,open,high,low,close,volume,rsi,macd,macd_avg,macd_diff,sma20,sma50,sma200,ema20,ema50,ema200,stochrsi,bb_upper,bb_lower,adx,VolAvg20,VolAvg50"
"15min,2023-03-14 09:15:00,388.52,389.07,388.29,388.98,787276,72.7,0.81,0.51,0.3,386.34,385.64,388.07,386.67,385.93,388.17,1.0,1.0,0.0,24.9,264514.8,1282763.84"
"30min,2023-03-14 09:30:00,389.0,390.41,388.4,389.63,18640254,68.98,0.84,0.36,0.48,385.83,385.46,393.81,386.47,386.34,391.31,1.0,1.0,0.0,16.82,1647730.75,3587622.1"
"60min,2023-03-14 09:00:00,388.07,390.41,387.86,389.63,19908368,59.19,-0.05,-0.72,0.66,385.6,388.04,394.99,386.3,388.28,394.67,1.0,1.0,0.0,14.18,8908128.55,9493565.8"
"5min,2023-03-16 10:05:00,386.56,386.59,385.29,385.34,1852287,40.79,-0.22,-0.24,0.02,386.25,386.76,386.38,386.3,386.67,386.81,0.3,0.0,0.0,18.43,750478.35,320464.84"
"15min,2023-03-16 10:00:00,387.09,387.66,385.29,385.75,5278611,43.04,-0.28,-0.17,-0.11,386.84,387.17,386.65,386.76,386.85,387.36,0.31,0.0,0.0,12.68,903475.45,1955318.5"
"30min,2023-03-16 10:00:00,387.09,387.66,385.1,386.36,8999772,47.28,-0.03,0.13,-0.16,387.28,386.66,389.31,386.88,386.87,389.33,0.34,0.0,0.0,12.7,1182998.9,3870591.88"
"60min,2023-03-16 10:00:00,387.09,390.55,385.1,390.07,21911945,61.33,0.31,0.04,0.27,386.29,386.86,393.55,387.18,387.48,392.6,1.0,0.0,0.0,11.47,10260331.15,10017913.76"
"5min,2023-03-23 08:45:00,394.52,395.02,394.52,394.69,65867,59.83,0.08,0.05,0.03,394.36,394.32,395.93,394.32,394.24,395.31,0.88,0.0,0.0,15.77,36132.85,20147.56"
"15min,2023-03-23 08:45:00,394.52,395.02,394.15,394.32,138106,49.84,-0.06,-0.15,0.09,394.42,394.86,395.64,394.24,394.91,395.14,0.77,0.0,0.0,12.63,58414.2,1749139.06"
"30min,2023-03-23 08:30:00,394.3,395.02,394.0,394.32,298774,45.63,-0.66,-0.87,0.22,393.8,396.75,392.59,394.61,395.55,393.86,0.86,0.0,0.0,15.59,2404318.65,2403419.86"
"60min,2023-03-23 09:00:00,394.31,396.17,393.7,395.95,8802762,52.12,-0.57,-0.48,-0.08,395.95,395.74,392.4,395.34,395.09,393.77,0.77,0.0,0.0,9.9,5981313.2,5997598.04"
"5min,2023-03-29 13:25:00,400.22,400.45,400.16,400.37,403317,64.22,0.18,0.15,0.03,399.95,399.66,397.71,399.93,399.64,398.29,1.0,1.0,0.0,15.03,511527.4,733640.38"
"15min,2023-03-29 13:30:00,400.37,400.38,399.52,399.78,1905082,56.09,0.37,0.39,-0.01,399.63,398.68,396.81,399.59,398.72,396.89,0.35,0.0,0.0,22.81,1947718.4,800323.96"
"30min,2023-03-29 13:30:00,400.37,400.38,399.38,399.56,3234347,58.26,0.77,0.81,-0.05,399.37,397.17,396.19,399.04,397.86,395.85,0.02,0.0,0.0,20.51,2053656.3,2064473.1"
"60min,2023-03-29 13:00:00,399.66,400.45,399.38,399.56,5793184,61.65,1.0,0.78,0.22,397.45,396.83,392.88,398.11,396.9,394.97,0.61,0.0,0.0,19.59,4829448.65,4707196.4"
"5min,2023-03-31 09:00:00,404.79,405.05,404.78,405.01,74510,63.23,0.14,0.11,0.03,404.57,404.37,403.69,404.61,404.39,403.54,0.62,0.0,0.0,33.14,54295.6,23412.04"
"15min,2023-03-31 09:00:00,404.79,405.15,404.78,405.13,193696,70.97,0.26,0.22,0.04,404.38,403.82,400.43,404.42,403.93,401.21,1.0,1.0,0.0,16.35,64735.2,708218.34"
"30min,2023-03-31 09:00:00,404.79,405.16,404.61,404.66,371842,64.13,0.43,0.42,0.01,404.13,403.33,397.84,404.11,403.02,398.99,0.73,0.0,0.0,12.91,904337.85,1405419.76"
"60min,2023-03-31 09:00:00,404.79,405.77,404.55,405.46,9516714,72.35,1.1,1.14,-0.04,403.82,400.58,395.17,403.56,401.35,397.0,1.0,1.0,0.0,18.73,3945657.2,4319772.68"
"5min,2023-04-03 08:30:00,408.77,408.78,408.48,408.62,45241,40.12,-0.12,-0.08,-0.04,408.91,408.92,407.8,408.84,408.95,407.79,0.35,0.0,0.0,27.76,23525.0,11884.3"
"15min,2023-04-03 08:30:00,408.77,408.93,408.48,408.9,87557,50.32,0.02,0.1,-0.08,408.93,408.74,404.14,408.94,408.37,404.53,0.53,0.0,0.0,25.25,36246.1,1532997.78"
"30min,2023-04-03 08:30:00,408.77,409.07,408.48,409.0,149174,60.02,0.59,0.8,-0.21,409.21,406.76,399.96,408.69,407.02,401.5,0.13,0.0,0.0,34.13,2508162.85,2311297.74"
"60min,2023-04-03 09:00:00,409.0,410.7,408.78,410.11,7572161,75.99,1.59,1.67,-0.08,407.84,404.48,396.98,407.87,404.86,398.72,0.35,0.0,0.0,34.59,5875876.35,5210239.7"
"5min,2023-04-06 10:30:00,406.83,407.1,406.69,407.05,782071,54.44,-0.11,-0.22,0.12,406.59,407.26,407.23,406.76,407.05,407.45,0.94,0.0,0.0,42.1,646990.3,273549.76"
"15min,2023-04-06 10:30:00,406.83,407.13,406.12,406.36,2326319,39.39,-0.25,-0.14,-0.11,407.25,407.35,408.83,407.06,407.31,407.65,0.3,0.0,0.0,27.87,764879.15,743887.62"
"30min,2023-04-06 10:30:00,406.83,407.13,406.12,406.44,4531417,40.44,-0.23,-0.13,-0.1,407.28,407.54,406.52,407.18,407.62,405.89,0.23,0.0,0.0,17.82,887354.55,1635177.84"
"60min,2023-04-06 10:00:00,406.15,407.29,406.07,406.44,10242768,41.18,-0.44,-0.41,-0.03,407.31,408.8,401.22,407.45,407.63,402.54,0.18,0.0,0.0,23.78,4070948.35,4259739.56"
"5min,2023-04-13 09:10:00,409.62,409.62,409.28,409.35,36783,60.07,0.27,0.19,0.09,408.86,408.77,409.17,409.05,408.76,408.96,0.61,0.0,0.0,41.93,48837.4,22259.46"
"15min,2023-04-13 09:15:00,409.35,409.35,409.11,409.24,188254,58.62,0.19,0.08,0.11,408.76,408.59,409.39,408.74,408.82,409.18,0.7,0.0,0.0,27.21,65672.2,933209.86"
"30min,2023-04-13 09:00:00,409.55,409.75,409.11,409.24,326990,53.53,-0.1,-0.3,0.19,408.25,409.42,408.92,408.73,409.11,408.34,0.87,0.0,0.0,14.29,1176366.9,1746975.34"
"60min,2023-04-13 09:00:00,409.55,409.75,408.7,409.14,6951069,50.06,-0.29,-0.32,0.03,409.26,409.38,405.56,409.02,409.15,405.7,0.73,0.0,0.0,12.74,4659471.0,4292017.2"
